transaction_id,item_ids,num_items,total_price_usd
1,"1 5 12 19",4,121.42
2,"2 5 9",3,81.89
3,"3 7",2,54.49
4,"4 6 11 16",4,106.97
5,"1 2 8 13 20",5,109.91
6,"10 14 18",3,29.47
7,"5 6 9 15 21 25",6,126.80
8,"3 8",2,40.49
9,"7 11 16 19 23",5,194.42
10,"12 17",2,30.48
11,"2 4 6 22",4,81.42
12,"9 13 24 27",4,92.42
13,"15 18 21",3,38.37
14,"1 3 5 7 9 11",6,202.41
15,"14 19 26 29",4,95.42
16,"8 10 12 20 28",5,81.45
17,"16 22 23 24",4,124.97
18,"17 25 27 30",4,73.46
19,"18 19",2,47.94
20,"21 22 23 24 25 26 27",7,159.93
