transaction_id,item_ids,num_items,total_price_usd
1,"2 4",2,28.94
2,"6 8 10 12",4,63.96
3,"14 16 18 20",4,79.46
4,"22 24 26 28",4,84.47
5,"1 9 17 25",4,89.45
6,"3 11 19 27",4,84.93
7,"5 13 21 29",4,82.47
8,"7 15 23 30",4,97.47
9,"2 6 14 18 22 26",6,108.42
10,"4 8 16 20 24 28",6,99.45
11,"1 5 9 13 17 21 25 29",8,151.92
12,"3 7 11 15 19 23 27 30",8,146.93
13,"10 20 30",3,53.47
14,"8 18 28",3,63.47
15,"6 16 26",3,71.47
16,"4 14 24",3,60.47
17,"2 12 22",3,64.43
18,"1 11 21",3,73.47
19,"5 15 25",3,66.87
20,"7 17 27",3,47.87
